title,salary,desc
" Regional Director, Ukraine","Job details
Job Type
Full-time","Location: Boone, NC, United States
Job ID: 13206
Date Posted: Apr 19, 2022
Job Description
Get Involved!
We are searching for a Regional Director to serve with our International Projects Department in Boone, NC and provide headquarters-level leadership to our new offices in Ukraine. As a Regional Director, you will collaborate with leadership on the ground to develop strategic, effective, and mission-aligned programming throughout the region. Do you have experience as a decision maker, administrator, and project manager? Have you served internationally, providing leadership and direction to field staff? Come join our team as we serve to make an eternal impact in a war-torn land.

A day in the life of a Regional Director, Ukraine:
At Samaritan’s Purse, the Gospel really is the center of all we do! We start each day with a time of devotions and spend time praying for each other, our staff and volunteers who serve around the globe.

In the role of Regional Director, Ukraine, you will have the opportunity to:
Maintain your personal relationship with Jesus Christ and be an effective witness for Him
Build effective teams in country offices to fulfill the mission statement of Samaritan’s Purse. Promote and implement activities to develop strong country leadership. Cultivate an environment of continuing development for spiritually health field teams.
Work closely with field leadership to ensure successful implementation of projects from proposal to completion. Review and approve all periodic field financial and programmatic reporting for submission to Projects senior leadership.
Travel to field for assessing Samaritan's Purse field activities, needs, and other work funded by Samaritan's Purse
Travel to field sites as needed for temporary assigned field responsibility, project review and assessment, assurance of policy execution, inventory confirmation, or other work as required.
Develop partners to adequately respond to critical needs in the Region
Provide a direct interface for field staff and partners on behalf of the Projects Department
Serve on the Incident Management Team as needed for Disaster Assistance Response Team (DART) deployment in disaster situations within the region and globally.
All other duties as assigned

Learn more about serving with Samaritan’s Purse.

Qualifications & Experience:
Bachelor's degree (B.A.) from four-year college or university and five (5) to seven (7) years’ related experience and/or training; or equivalent combination of education and experience
General knowledge of international affairs, foreign policy, and fundamental political frameworks within each country of oversight
General knowledge of socioeconomic, cultural, religious, and political conditions in assigned region(s)
High degree of diplomacy and cultural sensitivity
General knowledge of and ability to work in partnership with USAID and other governmental and non-governmental organizations
Intermediate to fluent foreign language skills preferred
12 credit hours of college-level Biblical Studies (required but can be completed after hire)

Job Location: Boone, NC
Type: Full-Time
Language Requirement: Fluency in English (required);
Travel Expectations: 75-100 days/annually; required travel documents and vaccinations for entry into foreign countries will be necessary

Benefits:
On-site Medical Clinic (staff and dependents)
Medical, prescription, dental & vision insurance
Flexible Spending Account (FSA)
Long-term and Short-term disability insurance
Paid Family Medical Leave
Term Life Insurance
401(k) retirement savings plan
10 paid holidays
12 vacation/personal days
10 sick days

Samaritan's Purse Mission Statement:
Samaritan's Purse is a nondenominational evangelical Christian organization providing spiritual and physical aid to hurting people around the world. Since 1970, Samaritan's Purse has helped meet needs of people who are victims of war, poverty, natural disasters, disease, and famine with the purpose of sharing God's love through His Son, Jesus Christ. The organization serves the Church worldwide to promote the Gospel of the Lord Jesus Christ.

Samaritan's Purse Statement of Faith:
We believe the Bible to be the inspired, the only infallible, authoritative Word of God. (1 Thessalonians 2:13; 2 Timothy 3:15-17)
We believe that there is one God, eternally existent in three persons: Father, Son, and Holy Spirit. (Matthew 28:19; John 10:30; Ephesians 4:4-6)
We believe in the deity of the Lord Jesus Christ, in His virgin birth, in His sinless life, in His miracles, in His vicarious and atoning death through His shed blood on the cross, in His bodily resurrection, in His ascension to the right hand of the Father, and in His personal return in power and glory. (Matthew 1:23; John 1:1-4 and 1:29; Acts 1:11 and 2:22-24; Romans 8:34; 1 Corinthians 15:3-4; 2 Corinthians 5:21; Philippians 2:5-11; Hebrews 1:1-4 and 4:15)
We believe that all men everywhere are lost and face the judgment of God, that Jesus Christ is the only way of salvation, and that for the salvation of lost and sinful man, repentance of sin and faith in Jesus Christ results in regeneration by the Holy Spirit. (Luke 24:46-47; John 14:6; Acts 4:12; Romans 3:23; 2 Corinthians 5:10-11; Ephesians 1:7 and 2:8-9; Titus 3:4-7)
We believe in the present ministry of the Holy Spirit, whose indwelling enables the Christian to live a godly life. (John 3:5-8; Acts 1:8 and 4:31; Romans 8:9; 1 Corinthians 2:14; Galatians 5:16-18; Ephesians 6:12; Colossians 2:6-10)
We believe in the resurrection of both the saved and the lost; the saved unto the resurrection of eternal life and the lost unto the resurrection of damnation and eternal punishment. (1 Corinthians 15:51-57; Revelation 20:11-15)
We believe in the spiritual unity of believers in the Lord Jesus Christ and that all true believers are members of His body, the church. (1 Corinthians 12:12, 27; Ephesians 1:22-23)
We believe that the ministry of evangelism and discipleship is a responsibility of all followers of Jesus Christ. (Matthew 28:18-20; Acts 1:8; Romans 10:9-15; 1 Peter 3:15)
We believe God’s plan for human sexuality is to be expressed only within the context of marriage, that God created man and woman as unique biological persons made to complete each other. God instituted monogamous marriage between male and female as the foundation of the family and the basic structure of human society. For this reason, we believe that marriage is exclusively the union of one genetic male and one genetic female. (Genesis 2:24; Matthew 19:5-6; Mark 10:6-9; Romans 1:26-27; 1 Corinthians 6:9)
We believe that we must dedicate ourselves to prayer, to the service of our Lord, to His authority over our lives, and to the ministry of evangelism. (Matthew 9:35-38; 22:37-39, and 28:18-20; Acts 1:8; Romans 10:9-15 and 12:20-21; Galatians 6:10; Colossians 2:6-10; 1 Peter 3:15)
We believe that human life is sacred from conception to its natural end; and that we must have concern for the physical and spiritual needs of our fellowmen. (Psalm 139:13; Isaiah 49:1; Jeremiah 1:5; Matthew 22:37-39; Romans 12:20-21; Galatians 6:10)"
 Sr Business Manager,0,"Follow Your Calling, Find Your Career!!
This is an exempt (salaried) position.
Pay rates are based on education, skill, experience level and internal equity. Internal equity considerations include an assessment of the applicant’s salary history and qualifications in comparison to the market rate and requirements for the job.
At Mecklenburg County, you’ll have the chance to build a career as unique as you are with support, inclusive culture, and technology to become the best version of you. We’re counting on YOUR unique voice and perspective to help Mecklenburg County become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
The Finance Department is a team of professionals that are tasked with functions including capital and debt planning, investments, accounting, payroll, procurement, grant management and payables along with providing additional fiscal support to departments across the County.
Directs and coordinates operations of all administrative and support functions including participating in formulation of policies and procedures governing fiscal and budgetary operations and controls, personnel administration, and other managerial functions. This position, performing highly responsible complex administrative work, is responsible for managing daily activities of assigned department for business execution and identifies opportunities for improvement or efficiencies.

Essential Functions:
Develop and implement strategies meant to assist the business in meeting its critical goals and objectives in the most efficient manner possible
Approve and allocate resources based on business priorities
Evaluate and recommend changes to policies or procedures
Manage customer relations, performance measurement, strategic planning, and budget/financial activities
Develop and supervise staff
Coordinate internal and external communications in partnership with the Public Information Office
Coordinate with the Human Resources designee for department needs
Oversee procurement and contracting procedures and processes
Perform needs assessments and analyzing the effectiveness of service delivery
Lead special projects as assigned by the department director
Review, interpret, and make recommendations on policies
Serve as a liaison, both internally and externally
Minimum Qualifications
Experience:
Minimum of eight years of progressively responsible experience related to the area of assignment; including one year of supervisory experience or completion of an approved supervisory training program.
Education:
Bachelor's degree in a Public Administration, Business Administration, or a related field.
Combination of relevant education and relevant experience accepted ?: Yes
Preferred Qualifications:
Master’s degree in Public Administration, Business Administration, or related field.
Knowledge, Skills and Abilities
Knowledge of
Business and management principles involved in strategic planning, budgeting, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.
Administrative and clerical procedures and systems such as word processing, managing files and records, designing forms, and other office procedures and terminology
Principles and processes for providing customer services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction
Skills:
Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems
Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions
Abilities:
Building Partnerships: Identifying opportunities and taking action to build strategic relationships between one’s area and other areas, teams, departments, units or organizations to help achieve business goals.
Communication: Clearly conveying information and ideas through a variety of media to individuals or groups in a manner that engages the audience and helps them understand and retain the information received
Formal Presentation: Presenting ideas effectively to individuals or groups when given time to prepare; delivering presentations suited to the characteristics and needs of the audience
Decision Making: Identifying and understanding issues, problems, and opportunities; comparing data from different sources to draw conclusions; using effective approaches for choosing a course of action or developing appropriate solutions; taking action that is consistent with available facts, constraints, and probable consequences

Computer Skills:
Advanced proficiency in various computer programs including Microsoft Office Suite, specifically Excel
Reasonable Accommodations Statement
To accomplish this job successfully, an individual must be able to perform, with or without reasonable accommodation, each essential function satisfactorily. Reasonable accommodations may be made to help enable qualified individuals with disabilities to perform the essential functions.
Disclaimer Statement
This is not intended to be an all-inclusive list of job-related responsibilities, duties, skills, requirements or working conditions. Other duties may be assigned based on business need and the supervisor’s request. Mecklenburg County reserves the right to revise the job description at any time. Designated positions may be required to assist in emergency and/or disaster situations.
Mecklenburg County requires proof of COVID-19 vaccination as a condition of employment for any new Mecklenburg County employees."
 TFX Operations - Operations Consultant,"Job details
Job Type
Full-time","Job Description:
Job Summary:
Responsible for the day-to-day resolution of complex problems and the execution of complex transactions for a single site/business unit or smaller business unit(s), including research. Participates in the design, development and implementation of complex products, systems and services in an operations environment. May manage projects and direct activities of a team related to special initiatives of an operations nature. Should function as the technical expert in their assigned area. Major accountabilities are based on individual expertise and capabilities. Should have in-depth understanding of the business unit's operations processes and implications on other groups within the operations function and other divisions within the company. Knowledge acquired through increasingly responsible operations analysis work. Clearly recognized as a content expert by peers. Bachelor degree or equivalent preferred.
Shift – 8:30AM – 5:00PM EST
Required Skills and Experience:
Strong business acumen and forward thinking
Ability to work in a fast-paced environment
Excellent verbal/written communication skills
Highly organized and efficient at prioritization of tasks
Knowledge of Foreign Currency payment clearing
Positive attitude and ability to work independently, as well as with a team
Excellent Microsoft Office Suite skills
Familiarity with Data Analytics and/or Project Management
Desired Skills and Experience:
Working knowledge of Global Payment Investigation systems
Ability to read / comprehend transaction audit trails and SWIFT messaging
Experienced at developing and executing Operational Excellence projects
Background within payment operations or similar role
Proven examples of data-driven solutions to complex problems
Experience in shaping proactive business strategy
Team Leader experience with background in risk management and/or process efficiency
Additional Competencies and Behaviors:
Strives to bring new thoughts and ideas to teams in order to drive innovation and unique solutions
Excels in working among diverse viewpoints to determine the best path forward
Experience in connecting with a diverse set of clients to understand future business needs – is a continuous learner
Commitment to challenging the status quo and promoting positive change
Participate in and drive collaborative efforts to advance tools, technology, and ways of working to better serve an evolving client base
Believes in value of diversity so we can reflect, connect and meet the diverse needs of our clients and employees around the world
Job Band:
H5
Shift:
1st shift (United States of America)
Hours Per Week:
40
Weekly Schedule:
Referral Bonus Amount:
0"
 Procurement Specialist,"Job details
Job Type
Full-time","More than a career - a chance to make a difference in people's lives.
Build an exciting, rewarding career with us – help us make a difference for millions of people every day. Consider joining the Duke Energy team, where you'll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits.
This is the intermediate level of the Procurement classification hierarchy. Employees at this level solve more complex problems, with some areas of specialization, with general supervision. Incumbents are expected to develop advanced skills and the ability to work with greater independence. They effectively apply fundamental concepts and procedures to work that is fairly complex and varied.
Responsibilities for this position include but are not limited to the following
This position handles the requisition process from inception to conclusion which includes terms negotiation and resolving invoice mismatches. Conducts daily collaboration, evaluation and management of procurement plans and strategies for assigned business unit (BU) partners and suppliers to meet business needs at best value. Identifies and supports resolution to exceptions on terms and conditions with appropriate input from Legal and others.
Provides guidance to BU (Business Unit) on procurement processes and practices.
Serves as Single Point of Contact for BU procurement needs for services and represents supply chain at BU meetings (project planning, outage, etc.) as required. Acts as liaison between suppliers and the BU.
Understands supplier capabilities, establishes relationships with suppliers and negotiates cost savings. Promotes generation of sustainable cost savings and net working capital (NWC) contributions by analyzing and executing favorable commercial contracts. Maintains/improves supplier relationships and ensures compliance with supplier agreements to help realize value added service benefits.
Utilizes Power Advocate for Bid Events as required by purchasing policies.
May handle master service agreements and serves as the subject matter expert on assigned cross functional teams and special projects.
Basic/Required Qualifications
Bachelors Degree and three (3) years related work experience or High School Diploma/GED and seven (7) years related work experience
Desired Qualifications
Microsoft Office Suite
Proven analytical, business acumen and customer service skills
Demonstrates strong sense of urgency and proven desire to learn
Demonstrates effective use of procurement systems, data and reports
Uses sound procurement practices, adheres to procedures and regulations and supports corporate strategic plans
#LI-RB1
#virtual
Working Conditions
Virtual Mobility Classification - Work will be performed from a remote location after the onboarding period. However, virtual employees should live within a reasonable commute to a Duke Energy facility.
Travel Requirements
5-15%
Relocation Assistance Provided (as applicable)
No
Represented/Union Position
No
Visa Sponsored Position
No
Posting Expiration Date
Tuesday, May 10, 2022
All job postings expire at 12:01 AM on the posting expiration date.
Please note that in order to be considered for this position, you must possess all of the basic/required qualifications.
Privacy
Do Not Sell My Personal Information (CA)
Terms of Use
Accessibility"
 Charlotte Campus Human Resources Manager,"Job details
Job Type
Full-time","Leads and manages the human resources and payroll functions for the university's Charlotte campus

Diversity & Inclusion
Embracing diversity for a richly inclusive community is a Guiding Principle at JWU. Our students, faculty and staff have varied backgrounds, experiences and perspectives that unite us as one community and contribute to our success. We are committed to enhancing the diversity of our workforce teams and we encourage individuals from underrepresented groups to apply.
Johnson & Wales University is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity or expression, genetic information, national origin, disability status, protected veteran status or any other basis prohibited by law.

Essential Job Functions

Administers human resources services such as recruitment and selection, promotions, transfers, job classifications, performance evaluations, and employee relations in accordance with university policies and objectives
Implements human resources and payroll programs to meet organizational needs and comply with federal, state and local laws, and university policies
Supervises the collection and submission of campus payroll and employee benefits information to Human Resources & Payroll on the Providence campus; distributes payroll as needed
Manages campus student employment programs
Plans and supervises employee programs such as onboarding and benefits/open enrollment educational sessions
Responds to campus employees' questions and concerns and works with Human Resources & Payroll on the Providence campus to resolve issues that arise
Assists with the administration of benefits programs such as life, health, dental and disability insurances, retirement, paid time off, and leave of absence; coordinates benefits enrollment for campus employees
Stays abreast of federal and state employment laws and facilitates compliance with applicable regulations
Submits work-related injury and illness reports in a timely manner
Prepares employee new hire forms and employment status change forms and submits forms for processing
Acts as campus compliance team member and Deputy Title IX coordinator
Supervises and manages student employees, as necessary, to enhance their academic and professional development
Performs other duties as assigned

Required Qualifications
Minimum of a bachelor's degree
Moderate amount of experience working in human resources or in other related work

Preferred Qualifications
Bachelor's degree or greater in human resources, business or a related field of study

Please note: Qualified candidates must live or relocate within a 100 mile radius of the Charlotte Campus location upon hire.


Advertised: 05 Jan 2022 Eastern Standard Time
Applications close:"
 Human Resources Generalist,"Job details
Job Type
Full-time","JOB SUMMARY
Administer human resources policies and programs, balancing employee advocacy and business operating needs. Promote equity, fair treatment, and positive employee relations and ensure compliance with state and federal employment laws. Provide comprehensive HR support, directly or indirectly to a designated client group in the area of recruitment and retention of critical talent, continuous performance coaching and management, pro-active issue/problem identification and resolution, and coaching and development for more effective leadership decision and communication skills. Understand and support the accomplishment of business priorities. Build credible relationships with Business Leaders allowing for better decisions and organizational effectiveness.

MAJOR DUTIES AND RESPONSIBILITIES
Assure Company policies are administered fairly and consistently throughout the area of responsibility

Effectively communicate and execute necessary changes to policies and procedures

Perform employee relations functions including support and counseling regarding personnel and job related conflicts, problem solving and dispute resolution, managing employee performance issues, review and assessment of termination requests

Conduct employee related investigations as necessary

Handle workers compensation, first report of injury database and safety regulations process

Coordinate the administration of all Leave of Absence programs and processes including Transitional Work Program and Accommodations Process

Conduct health and welfare benefits open enrollment meetings and employee meetings to update or roll out other benefits related programs as needed

Conduct employee and supervisor training including benefits, policies and procedures and prevention of harassment and discrimination

Ensure timely and accurate entries to the HRIS database

Ensure timely and accurate payroll entry for designated client group

Perform audit and compliance functions as requested on items such as audit reports verification, commission reports and payroll information

Maintain employee records in compliance with state and federal requirements

On an as needed basis, participate on various HR committees established to resolve employment challenges

Assist in the management and execution of bonus plans, merit processes, and routine/special request reports

Assist in the annual budget planning process as needed

May recruit and staff from internal and external sources

All other duties as requested

REQUIRED QUALIFICATIONS
Required Skills/Abilities and Knowledge
Ability to communicate orally and in writing in a clear and straightforward manner
Ability to communicate with all levels of management and company personnel
Ability to deal with the public in a professional manner
Ability to maintain confidentiality of information
Ability to make decisions and solve problems while working under pressure
Demonstrated PC skills and MS Office skills
Ability to prioritize and organize effectively
Ability to show judgment and initiative and to accomplish job duties in a timely manner
Knowledge of local, state and federal employment laws and procedures
Knowledge of state and federal wage and hour laws
Knowledge of staffing and employment practices
Knowledge of employee relations procedures and applicable law
Consultative and coaching skills
Analytical skills
Knowledge of cable television products and services a plus

Required Education
Bachelor's degree in Human Resources, Business, or related field or equivalent experience

Required Related Work Experience and Number of Years
Human Resources Generalist experience - 2+

PREFERRED QUALIFICATIONS
Preferred Skills/Abilities and Knowledge
Valid driver's license with satisfactory driving record within company required standards preferred

Preferred Education
Certifications for Human Resource Professionals (PHR, SPHR) preferred

WORKING CONDITIONS
Office environment
Travel Required
HGN360 308752 308752BR"
 Revenue Field Auditor,"Job details
Salary
$48,051 - $86,431 a year
Job Type
Full-time","Pay Grade: GN13

Starting salary is $59,740 (some exceptions may apply based on OSHR salary guidelines)

About the position:
The North Carolina Department of Revenue continuously recruits for Field Auditors and will accept online applications regardless of whether or not there is a current vacancy. A transcript (either official or unofficial) MUST accompany the application to verify completion of the required eighteen (18) accounting hours. Applications received without an attached transcript will be considered incomplete, unless you are a current DOR Field Auditor. DOR has locations across the state that can be found on our website: www.dornc.com. Field Auditor vacancies may be available at any location.

The primary purpose of the Revenue Field Auditor I position is the examination of the financial activities of businesses to determine tax compliance for multiple tax schedules.
Job responsibilities involved in the examination process include but are not limited to:

Interpret and apply tax laws, accounting procedures, and direct and indirect audit methods
Interpret and apply investigative problems of substantial variety and complexity
Conduct field audits primarily at the taxpayer's location, inside or outside of North Carolina, or the taxpayer's representative's business location

This position involves limited overnight travel.

Field Auditor positions are entry level, new grads are encouraged to apply! Selected candidates will be immersed in a two (2) year training progression!

About the Department:
At the North Carolina Department of Revenue our mission is to fund public services benefiting the people of North Carolina, we administer the tax laws and collect taxes due in an impartial, consistent, secure, and efficient manner. Together we are a SMART organization because we: S afeguard customer information; Maintain a knowledgeable workforce; A chieve a high level of understanding and compliance; Respond with accurate information through innovative services; and T reat our customers fairly. Through modernization efforts in technology we believe we've set a high standard that other agencies will admire. As an employer, we offer excellent benefits, stable work environment, competitive salaries, defined career paths, and training programs that will enable you to be successful.
Knowledge, Skills and Abilities / Competencies
Basic knowledge of the Internal Revenue Code and North Carolina Revenue Laws across multiple NC tax schedules
Intermediate skills using Excel, Word, Access and other Microsoft Office applications
Basic knowledge of auditing and accounting principles and practices
Ability to communicate comprehensive information on matters of a complex nature in a concise manner
Effective analytical skills that would be helpful with investigation of complex tax compliance issues
Ability to discuss and resolve technical and controversial tax matters
Ability to establish and maintain effective working relationships with taxpayers and employees
Possession of a vehicle and a valid driver's license due to the travel requirements for this position
Management Preference:
Related fields considered are as follows: Accounting , Administrative Science, Business
Administration, Business Law, Business Management, Business Operations, Economics, Finance, Financial Management, Public Administration, Public Sector & Government Administration Management, Tax , Tax Law and Trust & Wealth Management.

All degrees must be received from appropriately accredited institutions to be considered
relevant to qualify. Transcripts, degree evaluations and cover letters may be uploaded with your application. At the time of offer, selected candidates who obtained their education outside of the United States and its territories will be expected to provide adequate documentation for DOR to validate their academic degrees as equivalent to a degree conferred by a regionally accredited college or university in the United States.

A transcript (either official or unofficial) MUST accompany the application to verify completion of the required eighteen (18) accounting hours. Applications received without an attached transcript will be considered incomplete, unless you are a current DOR Tax or Field Auditor.
Minimum Education and Experience Requirements
Bachelor's degree in Business Administration, Economics, Accounting or related field with at least eighteen semester hours of accounting from an appropriately accredited institution; or an equivalent combination of education and experience."
" Associate II, Quality","Job details
Job Type
Full-time","Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.
By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?

**** As a condition of employment with American Red Cross, you are required to provide proof that you are fully vaccinated for COVID 19 or qualify for an exemption, except in states where it is prohibited by law. Accordingly, employment is conditioned on providing proof of vaccination or having an approved exemption prior to starting employment ****

Join us-Where your Career is a Force for Good!

Job Description:
The American Red Cross requires all new hires be vaccinated against COVID-19 as a condition of employment. This means that all individuals working for the organization must be fully vaccinated against COVID-19 by the start of their employment OR have begun the vaccination process prior to their start date. Upon being offered a position, individuals will be required to submit proof of vaccination. If you are unable to be vaccinated due to medical or religious reasons, you may qualify for an exemption. If seeking an exemption, you will be required to submit documentation and your request must be approved prior to hire.

Responsibilities

1. Review, assess, and monitor records, processes, and systems. Identify products/processes that are compromised and take appropriate action.

2. Train and mentor quality assurance staff and educate team and operations staff on quality principles and regulatory requirements

.3. Stop the manufacture, testing and distribution of products and services if the process or product is compromised.

4. Lead operating entities in preparing for, hosting, and closing out internal and external inspections and audits as necessary.

5. Participate in and function as the quality assurance lead for meetings and projects to identify quality issues, opportunities for standardization and process improvements and monitors change for effectiveness.

6. Represent quality assurance in change control, standardization, and consolidation activities to ensure implementation occurs in a state of compliance with no adverse impact.

Qualifications:

Education: Bachelor's degree required.

Experience: Minimum 5 years of related experience or equivalent combination of education and related experience required. Experience in QA, QC, or Quality Auditing in a GMP environment such as blood banking, pharmaceutical, medical devices, or a hospital.

Skills & Abilities: Ability to work on a team. Good analytical and problem-solving skills. Demonstrated effective verbal and written skills. Strong analytical and problem-solving skills. Ability to effectively work with management, staff, and outside clients. Persuasive skill to achieve compliance with relevant procedures. Must display tact, diplomacy, and professionalism in difficult situations. Must protect the confidentiality of sensitive information in the department.

Travel: Some travel may be required.

Combination of candidate's education and general experience satisfies requirements so long as the total years equate to description's minimum education and general experience years combined (Management experience cannot be substituted).

LI-POST

Apply now! Joining our team will provide you with the opportunity to make a difference every day.

The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

Interested in Volunteering?

Life's emergencies don't stop, and neither do American Red Cross volunteers, who represent more than 90 percent of our workforce to help prevent and alleviate human suffering. You can make a difference by volunteering in a position that appeals to you and allows you to use your unique skills and talents. The Red Cross relies on generous volunteers who give their time and talent to help fulfill our lifesaving mission.

Visit redcross.org/volunteertoday to learn more, including our most-needed volunteer positions.

To view the EEOC Summary of Rights, click here: Summary of Rights"
 Data Collector - Look AHEAD Aging and Sleep Study,"Job details
Job Type
Full-time","JOB SUMMARY
Under general supervision, performs duties involved in the collection and documentation of data in support of research and information gathering activities. This position is a 100% extramurally funded position on the Look AHEAD Aging and Sleep study. The individual will provide assistance in the area of recruitment and participant interviewing.
EDUCATION/EXPERIENCE
Bachelor's degree in Social Science, Education, or Public Health; or, an equivalent combination of experience and education including training in research methodology, computerized data processing, and/or interviewing techniques.
SKILLS/QUALIFICATIONS
Experience in a research environment
Experience in department to be served
ESSENTIAL FUNCTIONS
Performs duties involved in the collection and documentation of data in support of research and information gathering activities.
Participates in all aspects of research and evaluation activities. Edits collected data and performs follow-up activities.
Assists in the design and testing of questionnaires, data input sheets, and other data collection mechanisms.
Supervises and participates in the coding of data in preparation for computer operations.
Coordinates the collection and organization of materials and data used in research reports, publications, and program descriptions.
Assists in data analyses and preparation of charts, graphs, and reports obtained from research data.
Performs fieldwork on assigned research project.
Establishes and coordinates interview schedules and conducts interviews with patients, family members, and the public.
Assists individuals in filling out preliminary forms and questionnaires and answers questions as required.
Performs other related duties incidental to the work described herein.
WORK ENVIRONMENT
Clean, well lit, office environment"
 HR Compliance & Immigration Coordinator,0,"The HR Compliance / Immigration Specialist plays an important role in ensuring that our employees and business teams can perform to their full potential. In this role, you will be a key member of the HR Operations team and interact regularly with various stakeholders throughout the organization. You will enjoy a wide scope of responsibilities and have the ability to make a significant impact in our fast-growing company. We're looking for a support professional with a strong customer service focus and desire for operations work who is interested in growing in the immigration and compliance space.
Note: this role is based out of the Charlotte, NC area and will be hybrid, with some time spent in office.
Compliance:
Manage I-9 & E-Verify program ensuring complete and accurate records for full compliance.
Manage background check and drug screening program and compliance.
Develop and conduct various compliance training programs for internal stakeholders.
Conduct regular data and departmental audits.
Support the HR team to ensure compliance with all local, state, federal & international employment regulations.
Immigration:
Domestic: Assist with non-immigrant (OPT, H-1B, TN, L-1, & E-3) and immigrant processes (PERMs).
International: Assist with intracompany visa processes for employees taking temporary international assignments.
Act as liaison with external immigration counsel and sponsored employees.
Collaborate with internal teams including HR, Talent Acquisition and Business Leadership to ensure smooth and timely processing of all immigration cases.
Develop and conduct training program for internal stakeholders on immigration policies and processes.
What We're Looking For:
1+ years legal experience (including immigration) either in-house or with a legal firm
Experience in maintaining I-9 documentation is a plus, but not required
Excellent verbal and written communication skills
Precise attention to detail
Ability to perform efficiently and effectively in a fast-paced, deadline-oriented environment
Extremely strong problem-solving skills
Team player mentality
Ability to handle matters of confidentiality with the utmost tact and diplomacy
Exceptional Microsoft Office skills (Outlook, Word, Excel and PowerPoint)
Paralegal certification or bachelor's degree in related field preferred
Who We Are:
Founded in 2000, Red Ventures is a portfolio of growing digital businesses that bring consumers and brands together through integrated e-commerce, strategic partnerships and many proprietary brands including Bankrate, AllConnect.com and Reviews.com. Headquartered south of Charlotte, NC, Red Ventures has over 3000 employees in offices across the US, as well as London and Sao Paulo. For more information, visit www.redventures.com.
We offer competitive salaries and a comprehensive benefits program for full-time employees, including medical, dental and vision coverage, paid time off, life insurance, disability coverage, employee assistance program, 401(k) plan and a paid parental leave program.
Red Ventures is an equal opportunity employer that does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or any other basis protected by law. Employment at Red Ventures is based solely on a person's merit and qualifications.
We are committed to providing equal employment opportunities to qualified individuals with disabilities. This includes providing reasonable accommodation where appropriate. Should you require a reasonable accommodation to apply or participate in the job application or interview process, please contact accommodation@redventures.com.

#LI-JB2
#li-hybrid"
 Director of Compliance,"Job details
Job Type
Full-time","Summary:
Atlantic Medical Management (AMM) is looking for an experienced Director of Compliance to join our organization. AMM is a corporate medical management firm that is dedicated to improving patient care. The primary responsibility will be to develop, manage and maintain the organization’s compliance program. Home base for this position is in Cary, NC but require travel throughout North Carolina. Cary is a suburb of Raleigh, minutes from Research Triangle Park and is consistently a top place to live in North Carolina.
The Compliance Office itself acts as a channel of communications to receive and direct compliance issues to appropriate resources for investigation and resolution, and as a final internal resource with which concerned parties may communicate after other formal channels and resources have been exhausted.
Responsibilities include:
Provide guidance for the executive team on matters relating to compliance
Ensure that the organization is in compliance with the rules and regulations of all regulatory agencies
Develop and implement necessary actions, policies and processes to address compliance issues
Monitor for and reporting when violations occur
Requirements and Qualification:
Bachelors degree in Health Care Management or related field
3 years experience in the medical field
Can function both independently and as part of a team.
Able to efficiently and effectively organize and juggle a results-oriented environment.
Oral communication skills.
Proficiency Microsoft products.
Benefits:
401(k)
Health, Dental and Vision insurance
Employee assistance program
AFLAC
Paid time off
Education
Preferred
Bachelor of Arts or better in Health Services Administration or related field"
